name,objectid,weight,rank,minPlayers,maxPlayers,playingtime,year,imagePath,category
Iberia,198928,2.5902,140,2,5,45,2016,https://cf.geekdo-images.com/752GFSJLkyDZikThRM6gqQ__original/img/SMtMEB-rB_l3p_tmTYzAYGx_IkI=/0x0/filters:format(png)/pic3000850.png,Strategy
Forbidden Stars,175155,3.8351,141,2,4,180,2015,https://cf.geekdo-images.com/WlvyznYhlYNXMtMbKKu1oA__original/img/AQ1P6PKw7ZW-XTOAFKhCwsnfP0I=/0x0/filters:format(jpeg)/pic2471359.jpg,Strategy
Yokohama,196340,3.2987,142,2,4,90,2016,https://cf.geekdo-images.com/ocI_xrJ7A-cDTTMUoYBNzw__original/img/7C0EpAhp67svA0XQ1FjuhrNvESU=/0x0/filters:format(jpeg)/pic3600984.jpg,Strategy
Codenames,178900,1.2612,143,2,8,15,2015,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__original/img/gcX_EfjsRpB5fI4Ug4XV73G4jGI=/0x0/filters:format(jpeg)/pic2582929.jpg,Party
Champions of Midgard,172287,2.6205,146,2,4,90,2015,https://cf.geekdo-images.com/VJwOnMF5vwJg2Yaq6ozn3Q__original/img/iEgr80D4UtP0x_WQUYSB60JwGJ0=/0x0/filters:format(jpeg)/pic2869714.jpg,Strategy
Just One,254640,1.0385,148,3,7,60,2018,https://cf.geekdo-images.com/qKcKjHpzAvLddwBhyindag__original/img/NPUrOSJ5NEC7aPkoEXnTHJ7vICU=/0x0/filters:format(jpeg)/pic4268499.jpg,Party
PARKS,266524,2.12,149,1,5,60,2019,https://cf.geekdo-images.com/mF2cSNRk2O6HtE45Sl9TcA__original/img/_KNgPoC_4l7iN0ntbFILexOJpfc=/0x0/filters:format(jpeg)/pic4852372.jpg,Family
Roll for the Galaxy,132531,2.7794,150,2,5,45,2014,https://cf.geekdo-images.com/nhoyoLpYPC2b3UiJ5kJ0yg__original/img/LoETJCbq1HpSlhPLdci3qJekpwA=/0x0/filters:format(jpeg)/pic1473629.jpg,Strategy
The Isle of Cats,281259,2.3583,151,1,4,90,2019,https://cf.geekdo-images.com/AuAheDzhkLufiZFE9JaRNA__original/img/pKq-l1Ms78olHwMbZYMa_x6m-fM=/0x0/filters:format(jpeg)/pic4781085.jpg,Strategy
Pandemic,30549,2.3995,152,2,4,45,2008,https://cf.geekdo-images.com/S3ybV1LAp-8SnHIXLLjVqA__original/img/IsrvRLpUV1TEyZsO5rC-btXaPz0=/0x0/filters:format(jpeg)/pic1534148.jpg,Strategy
Rajas of the Ganges,220877,2.8916,153,2,4,75,2017,https://cf.geekdo-images.com/hR5sxxqNY3gjvLwifaqRww__original/img/kaXHOjBJX-URkjTjhQUhFl7E8Ng=/0x0/filters:format(jpeg)/pic3646165.jpg,Strategy
Targi,118048,2.3347,154,2,2,60,2012,https://cf.geekdo-images.com/wHg4fOf48cs1kw1PDOk1tQ__original/img/St4ABQhpauYiq4Mt6-f38JtLOjM=/0x0/filters:format(jpeg)/pic3958793.jpg,Strategy
Cartographers,263918,1.8762,155,1,100,45,2019,https://cf.geekdo-images.com/GifbnAmsA4lfEcDkeaC9VA__original/img/YzJORdIDNza8kmrY6KEU_h2p2Wo=/0x0/filters:format(png)/pic4397932.png,Family
Res Arcana,262712,2.6385,157,2,4,60,2019,https://cf.geekdo-images.com/gcALy45JfcjyKUn6T3mBIQ__original/img/YLSAurBSWEGi3PHsuQWi8St_0Yg=/0x0/filters:format(jpeg)/pic4422847.jpg,Strategy
Star Realms,147020,1.9237,158,2,2,20,2014,https://cf.geekdo-images.com/EsJqPL5CB_TMt0MYL-lnVg__original/img/QXgamCDRuBoRJyU1PQjeh58Pvr8=/0x0/filters:format(jpeg)/pic1903816.jpg,Strategy
